character,Seinfeld.S04E06.The.Watch.merged,Seinfeld.S04E07.The.Bubble.Boy.merged,Seinfeld.S04E08.The.Cheever.Letters.merged,Seinfeld.S04E09.The.Opera.merged,Seinfeld.S04E10.The.Virgin.merged,Seinfeld.S04E11.The.Contest.merged,Seinfeld.S04E12.The.Airport.merged,Seinfeld.S04E13.The.Pick.merged,Seinfeld.S04E15.The.Visa.merged,Seinfeld.S04E16.The.Shoes.merged,Seinfeld.S04E17.The.Outing.merged,Seinfeld.S04E18.The.Old.Man.merged,Seinfeld.S04E19.The.Implant.merged,Seinfeld.S04E20.The.Junior.Mint.merged,Seinfeld.S04E21.The.Smelly.Car.merged,Seinfeld.S04E22.The.Handicap.Spot.merged,Seinfeld.S05E01.The.Mango.merged,Seinfeld.S05E02.The.Puffy.Shirt.merged,Seinfeld.S05E03.The.Glasses.merged,Seinfeld.S05E04.The.Sniffing.Accountant.merged,Seinfeld.S05E05.The.Bris.merged,Seinfeld.S05E06.The.Lip.Reader.merged,Seinfeld.S05E07.The.Non-Fat.Yogurt.merged,Seinfeld.S05E08.The.Barber.merged,Seinfeld.S05E09.The.Masseuse.merged,Seinfeld.S05E10.The.Cigar.Store.Indian.merged,Seinfeld.S05E11.The.Conversion.merged,Seinfeld.S05E12.The.Stall.merged,Seinfeld.S05E13.The.Dinner.Party.merged,Seinfeld.S05E14.The.Marine.Biologist.merged,Seinfeld.S05E15.The.Pie.merged,Seinfeld.S05E16.The.Stand-In.merged,Seinfeld.S05E17.The.Wife.merged,Seinfeld.S05E20.The.Fire.merged,Seinfeld.S05E21.The.Hamptons.merged,Seinfeld.S06E06.The.Gymnast.merged,Seinfeld.S06E07.The.Soup.merged,Seinfeld.S06E08.The.Mom.and.Pop.Store.merged,Seinfeld.S06E09.The.Secretary.merged,Seinfeld.S06E12.The.Label.Maker.merged,Seinfeld.S06E13.The.Scofflaw.merged,Seinfeld.S06E17.The.Kiss.Hello.merged,Seinfeld.S06E18.The.Doorman.merged,Seinfeld.S06E19.The.Jimmy.merged,Seinfeld.S06E20.The.Doodle.merged,Seinfeld.S06E21.The.Fusilli.Jerry.merged,Seinfeld.S06E22.The.Diplomats.Club.merged,Seinfeld.S06E23.The.Face.Painter.merged,Seinfeld.S07E01.The.Engagement.merged,Seinfeld.S07E02.The.Postponement.merged,Seinfeld.S07E03.The.Maestro.merged,Seinfeld.S07E04.The.Wink.merged,Seinfeld.S07E05.The.Hot.Tub.merged,Seinfeld.S07E06.The.Soup.Nazi.merged,Seinfeld.S07E07.The.Secret.Code.merged,Seinfeld.S07E08.The.Pool.Guy.merged,Seinfeld.S07E09.The.Sponge.merged,Seinfeld.S07E10.The.Gum.merged,Seinfeld.S07E12.The.Caddy.merged,Seinfeld.S07E16.The.Shower.Head.merged,Seinfeld.S07E17.The.Doll.merged,Seinfeld.S07E20.The.Calzone.merged,Seinfeld.S08E01.The.Foundation.merged,Seinfeld.S08E02.The.Soul.Mate.merged,Seinfeld.S08E03.The.Bizarro.Jerry.merged,Seinfeld.S08E04.The.Little.Kicks.merged,Seinfeld.S08E05.The.Package.merged,Seinfeld.S08E06.The.Fatigues.merged,Seinfeld.S08E08.The.Chicken.Roaster.merged,Seinfeld.S08E09.The.Abstinence.merged,Seinfeld.S08E10.The.Andrea.Doria.merged,Seinfeld.S08E11.The.Little.Jerry.merged,Seinfeld.S08E12.The.Money.merged,Seinfeld.S08E13.The.Comeback.merged,Seinfeld.S08E14.The.Van.Buren.Boys.merged,Seinfeld.S08E15.The.Susie.merged,Seinfeld.S08E18.The.Nap.merged,Seinfeld.S08E19.The.Yada.Yada.merged,Seinfeld.S08E20.The.Millennium.merged,Seinfeld.S08E21.The.Muffin.Tops.merged,Seinfeld.S09E02.The.Voice.merged,Seinfeld.S09E03.The.Serenity.Now.merged,Seinfeld.S09E04.The.Blood.merged,Seinfeld.S09E05.The.Junk.Mail.merged,Seinfeld.S09E06.The.Merv.Griffin.Show.merged,Seinfeld.S09E09.The.Apology.merged,Seinfeld.S09E10.The.Strike.merged,Seinfeld.S09E11.The.Dealership.merged,Seinfeld.S09E12.The.Reverse.Peephole.merged,Seinfeld.S09E13.The.Cartoon.merged,Seinfeld.S09E14.The.Strongbox.merged,Seinfeld.S09E15.The.Wizard.merged,Seinfeld.S09E16.The.Burning.merged,Seinfeld.S09E17.The.Bookstore.merged,Seinfeld.S09E18.The.Frogger.merged,Seinfeld.S09E19.The.Maid.merged
MORTY_laughs,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,4,,,6,,,,,,,,,,,,,,,11,,,,,,,,,,,,0,10,,3,,,,,,,,5,,,,,,,,,9,,1,,
MORTY_funniness,0.34545454545454546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.4444444444444444,,,0.375,,,,,,,,,,,,,,,0.34375,,,,,,,,,,,,0.0,0.20833333333333334,,0.5,,,,,,,,0.5555555555555556,,,,,,,,,0.2647058823529412,,0.25,,
HELEN_lines,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,4,,,9,,,,,,,,,,,,,,,29,,,,,,,,,,,,10,31,,7,,,,,,,,12,,,,,,,,,16,,6,,
HELEN_laughs,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,5,8,,0,,,,,,,,1,,,,,,,,,7,,4,,
HELEN_funniness,0.41304347826086957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.1111111111111111,,,,,,,,,,,,,,,0.13793103448275862,,,,,,,,,,,,0.5,0.25806451612903225,,0.0,,,,,,,,0.08333333333333333,,,,,,,,,0.4375,,0.6666666666666666,,
ELAINE_lines,36,47,49,75,61,88,96,74,75,67,25,53,56,61,87,72,91,37,76,95,53,57,83,50,86,64,48,124,127,95,70,48,102,50,68,61,59,39,77,66,57,73,69,78,96,61,57,66,57,85,47,114,87,118,59,67,81,45,63,88,63,63,86,62,78,95,83,65,65,65,81,63,74,84,64,75,88,81,50,65,77,74,73,40,67,71,109,42,101,88,143,82,65,57,80,113
ELAINE_laughs,7,7,8,24,17,21,26,19,14,15,9,19,16,6,25,10,19,9,18,13,17,16,19,13,19,15,9,33,28,13,22,20,24,17,21,18,21,10,13,13,22,21,15,13,21,19,14,13,14,21,13,37,21,28,16,11,18,12,15,21,19,15,20,12,22,22,24,25,23,22,24,18,17,20,13,24,22,28,11,14,15,22,18,9,20,27,25,9,25,25,38,26,19,13,25,23
ELAINE_funniness,0.19444444444444445,0.14893617021276595,0.16326530612244897,0.32,0.2786885245901639,0.23863636363636365,0.2708333333333333,0.25675675675675674,0.18666666666666668,0.22388059701492538,0.36,0.3584905660377358,0.2857142857142857,0.09836065573770492,0.28735632183908044,0.1388888888888889,0.2087912087912088,0.24324324324324326,0.23684210526315788,0.1368421052631579,0.32075471698113206,0.2807017543859649,0.2289156626506024,0.26,0.22093023255813954,0.234375,0.1875,0.2661290322580645,0.2204724409448819,0.1368421052631579,0.3142857142857143,0.4166666666666667,0.23529411764705882,0.34,0.3088235294117647,0.29508196721311475,0.3559322033898305,0.2564102564102564,0.16883116883116883,0.19696969696969696,0.38596491228070173,0.2876712328767123,0.21739130434782608,0.16666666666666666,0.21875,0.3114754098360656,0.24561403508771928,0.19696969696969696,0.24561403508771928,0.24705882352941178,0.2765957446808511,0.32456140350877194,0.2413793103448276,0.23728813559322035,0.2711864406779661,0.16417910447761194,0.2222222222222222,0.26666666666666666,0.23809523809523808,0.23863636363636365,0.30158730158730157,0.23809523809523808,0.23255813953488372,0.1935483870967742,0.28205128205128205,0.23157894736842105,0.2891566265060241,0.38461538461538464,0.35384615384615387,0.3384615384615385,0.2962962962962963,0.2857142857142857,0.22972972972972974,0.23809523809523808,0.203125,0.32,0.25,0.345679012345679,0.22,0.2153846153846154,0.19480519480519481,0.2972972972972973,0.2465753424657534,0.225,0.29850746268656714,0.38028169014084506,0.22935779816513763,0.21428571428571427,0.24752475247524752,0.2840909090909091,0.26573426573426573,0.3170731707317073,0.2923076923076923,0.22807017543859648,0.3125,0.20353982300884957
LEO_lines,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,
LEO_laughs,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
LEO_funniness,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37037037037037035,,
RESTON_lines,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESTON_laughs,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESTON_funniness,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUSAN_lines,13,28,28,10,11,,,6,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,28,10,,,17,14,36,47,,5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUSAN_laughs,2,4,4,0,0,,,0,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,,,4,4,11,8,,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUSAN_funniness,0.15384615384615385,0.14285714285714285,0.14285714285714285,0.0,0.0,,,0.0,,,,,,,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15384615384615385,0.17857142857142858,0.2,,,0.23529411764705882,0.2857142857142857,0.3055555555555556,0.1702127659574468,,0.0,,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSELL_lines,12,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSELL_laughs,3,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSELL_funniness,0.25,,,,,,,,,0.24390243902439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAOMI_lines,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAOMI_laughs,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAOMI_funniness,0.2857142857142857,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVOLA_lines,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVOLA_laughs,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVOLA_funniness,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOORMAN_lines,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOORMAN_laughs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOORMAN_funniness,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3157894736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYNTHIA_lines,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYNTHIA_laughs,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYNTHIA_funniness,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEL_lines,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEL_laughs,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEL_funniness,,0.06060606060606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONALD_lines,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONALD_laughs,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONALD_funniness,,0.25806451612903225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAITRESS_lines,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,6,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,3,,,8,,1,,
WAITRESS_laughs,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,1,,,2,,1,,
WAITRESS_funniness,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.25,,,,,,,,,,0.0,,,,,,,,,0.3333333333333333,,,0.25,,1.0,,
